customer_id,Total_Orders,Total_Spend,Total_Profit,First_Purchase_Date,Last_Purchase_Date,Unique_Products,Total_Quantity,AOV,Profit_Margin_%,Recency_Days,Tenure_Days,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,customer_name,gender,age,city,state,region
CUST-00001,15,52515.8,19924.03,2022-01-18,2024-06-06,14,25,3501.05,37.94,209,1079,1,4,5,145,At Risk,Manish Malhotra,Male,20,Delhi,Delhi,North
CUST-00002,8,24859.45,5058.5,2023-02-20,2024-06-27,8,11,3107.43,20.35,188,681,1,3,4,134,At Risk,Ayaan Patel,Male,36,Patna,Bihar,East
CUST-00003,7,11221.25,4490.61,2024-01-26,2024-02-13,7,11,1603.04,40.02,323,341,1,2,2,122,Lost Customers,Swati Dutta,Female,26,Delhi,Delhi,North
CUST-00004,8,65226.899999999994,14108.66,2022-01-22,2024-10-10,8,9,8153.36,21.63,83,1075,2,3,5,235,At Risk,Kabir Verma,Male,27,Kolkata,West Bengal,East
CUST-00005,4,2426.0,948.45,2024-05-25,2024-11-20,4,5,606.5,39.1,42,221,4,1,1,411,New Customers,Ayaan Iyengar,Male,41,Delhi,Delhi,North
CUST-00006,3,2331.95,698.32,2024-01-24,2024-02-05,3,4,777.32,29.95,331,343,1,1,1,111,Lost Customers,Reyansh Das,Male,18,Hyderabad,Telangana,South
CUST-00007,11,9495.15,3157.48,2022-07-29,2024-10-16,11,14,863.2,33.25,77,887,2,4,2,242,Regular Customers,Rohan Banerjee,Male,26,Kolkata,West Bengal,East
CUST-00008,16,46112.799999999996,15233.039999999999,2022-08-05,2024-12-10,16,21,2882.05,33.03,22,880,5,5,5,555,Champions,Saanvi Choudhury,Female,39,Mumbai,Maharashtra,West
CUST-00009,8,5143.65,1634.1,2022-05-28,2024-10-17,8,11,642.96,31.77,76,949,2,3,1,231,Regular Customers,Meera Shah,Female,26,Mumbai,Maharashtra,West
CUST-00010,5,17060.1,4585.34,2022-05-15,2024-05-26,5,8,3412.02,26.88,220,962,1,1,3,113,Lost Customers,Sunita Reddy,Female,43,Chennai,Tamil Nadu,South
CUST-00011,13,47950.0,13748.970000000001,2022-12-13,2024-12-02,13,22,3688.46,28.67,30,750,4,4,5,445,Champions,Vihaan Rao,Male,27,Coimbatore,Tamil Nadu,South
CUST-00012,4,23423.1,9379.619999999999,2023-08-25,2024-09-16,4,7,5855.78,40.04,107,495,2,1,4,214,Lost Customers,Kunal Verma,Male,32,Jaipur,Rajasthan,North
CUST-00013,18,15446.800000000001,4872.2300000000005,2022-03-29,2024-12-20,17,29,858.16,31.54,12,1009,5,5,3,553,Loyal Customers,Varun Nair,Male,63,Delhi,Delhi,North
CUST-00014,21,51387.55,18966.629999999997,2024-06-21,2024-12-30,20,40,2447.03,36.91,2,194,5,5,5,555,Champions,Deepa Singh,Female,46,Indore,Madhya Pradesh,Central
CUST-00015,13,27399.5,11629.41,2022-02-08,2024-12-17,13,18,2107.65,42.44,15,1058,5,4,4,544,Champions,Navya Banerjee,Female,35,Surat,Gujarat,West
CUST-00016,13,16214.25,6755.3,2022-04-27,2024-11-02,12,14,1247.25,41.66,60,980,3,4,3,343,Loyal Customers,Vivaan Kaur,Male,42,Delhi,Delhi,North
CUST-00017,31,58509.05,21803.99,2022-04-30,2024-12-17,30,46,1887.39,37.27,15,977,5,5,5,555,Champions,Aditya Yadav,Male,21,Bengaluru,Karnataka,South
CUST-00018,16,55944.85,14944.09,2023-07-29,2024-11-11,16,33,3496.55,26.71,51,522,3,5,5,355,Loyal Customers,Pari Shah,Female,18,Hyderabad,Telangana,South
CUST-00019,4,3908.3,2019.2399999999998,2023-02-16,2024-11-30,4,5,977.08,51.67,32,685,4,1,1,411,New Customers,Atharv Saxena,Male,20,Bhopal,Madhya Pradesh,Central
CUST-00021,4,4387.45,401.1,2022-06-13,2023-12-29,4,8,1096.86,9.14,369,933,1,1,1,111,Lost Customers,Diya Chatterjee,Female,39,Chandigarh,Punjab,North
CUST-00022,5,25117.85,6193.13,2024-02-23,2024-09-20,5,5,5023.57,24.66,103,313,2,1,4,214,Lost Customers,Pari Shah,Female,42,Mumbai,Maharashtra,West
CUST-00023,4,9781.15,3609.15,2022-05-05,2023-03-13,4,6,2445.29,36.9,660,972,1,1,2,112,Lost Customers,Shaurya Pandey,Male,18,Mumbai,Maharashtra,West
CUST-00024,5,3623.45,1717.93,2022-10-29,2023-10-31,5,9,724.69,47.41,428,795,1,1,1,111,Lost Customers,Vivaan Mishra,Male,45,Bengaluru,Karnataka,South
CUST-00025,24,102582.34999999999,29711.5,2024-03-11,2024-11-09,24,49,4274.26,28.96,53,296,3,5,5,355,Loyal Customers,Aadhya Mehta,Female,42,Chennai,Tamil Nadu,South
CUST-00026,4,7752.9,923.11,2023-10-26,2024-08-06,4,10,1938.22,11.91,148,433,2,1,2,212,Lost Customers,Shaurya Mehta,Male,36,Lucknow,Uttar Pradesh,North
CUST-00027,5,8971.65,3233.8900000000003,2023-08-03,2024-11-22,5,11,1794.33,36.05,40,517,4,1,2,412,New Customers,Pallavi Singh,Female,49,Kolkata,West Bengal,East
CUST-00028,4,10077.65,3296.6499999999996,2024-02-28,2024-03-08,4,4,2519.41,32.71,299,308,1,1,2,112,Lost Customers,Ananya Patel,Female,36,Chennai,Tamil Nadu,South
CUST-00029,20,39087.950000000004,6260.4400000000005,2023-06-07,2024-12-24,19,24,1954.4,16.02,8,574,5,5,4,554,Champions,Anand Banerjee,Male,18,Kolkata,West Bengal,East
CUST-00030,19,38576.0,7764.23,2022-09-01,2024-12-31,19,31,2030.32,20.13,1,853,5,5,4,554,Champions,Pari Rao,Female,44,Bengaluru,Karnataka,South
CUST-00031,9,22243.4,8007.82,2023-10-08,2024-09-29,9,17,2471.49,36.0,94,451,2,3,3,233,At Risk,Arjun Iyengar,Male,24,Mumbai,Maharashtra,West
CUST-00032,4,1781.4,534.24,2022-09-15,2024-02-14,4,5,445.35,29.99,322,839,1,1,1,111,Lost Customers,Vivaan Yadav,Male,41,Delhi,Delhi,North
CUST-00033,9,99951.25,23049.92,2023-05-22,2024-12-09,9,17,11105.69,23.06,23,590,5,3,5,535,Loyal Customers,Diya Mishra,Female,38,Bhubaneswar,Odisha,East
CUST-00034,19,48462.95,14838.61,2024-05-07,2024-11-30,19,34,2550.68,30.62,32,239,4,5,5,455,Champions,Pari Nair,Female,45,Delhi,Delhi,North
CUST-00035,21,33994.45,16123.45,2024-02-09,2024-10-03,21,34,1618.78,47.43,90,327,2,5,4,254,At Risk,Pooja Shah,Female,48,Coimbatore,Tamil Nadu,South
CUST-00036,10,29730.2,11216.97,2022-05-10,2024-12-22,9,13,2973.02,37.73,10,967,5,3,4,534,Loyal Customers,Aarav Kaur,Male,34,Mumbai,Maharashtra,West
CUST-00037,15,24233.15,9048.79,2022-07-09,2024-11-15,15,16,1615.54,37.34,47,907,3,4,4,344,Loyal Customers,Vikram Choudhury,Male,47,Patna,Bihar,East
CUST-00038,4,5842.6,2348.9700000000003,2023-01-05,2024-11-12,4,6,1460.65,40.2,50,727,3,1,1,311,Regular Customers,Shaurya Malhotra,Male,32,Kolkata,West Bengal,East
CUST-00039,21,21070.75,8640.01,2022-06-26,2024-10-13,20,33,1003.37,41.0,80,920,2,5,3,253,At Risk,Rohan Sharma,Male,28,Hyderabad,Telangana,South
CUST-00040,16,103087.9,17497.92,2023-11-12,2024-11-17,16,18,6442.99,16.97,45,416,4,5,5,455,Champions,Sunita Saxena,Female,29,Bengaluru,Karnataka,South
CUST-00041,13,11213.3,4633.21,2022-09-27,2024-09-24,13,19,862.56,41.32,99,827,2,4,2,242,Regular Customers,Rekha Singh,Female,22,Visakhapatnam,Andhra Pradesh,South
